tempo,q
11.26,4.34E-03
11.27,4.33E-03
11.28,4.32E-03
11.29,4.32E-03
11.3,4.31E-03
11.31,4.31E-03
11.32,4.30E-03
11.33,4.29E-03
11.34,4.29E-03
11.35,4.28E-03
11.36,4.27E-03
11.37,4.27E-03
11.38,4.26E-03
11.39,4.26E-03
11.4,4.25E-03
11.41,4.24E-03
11.42,4.24E-03
11.43,4.23E-03
11.44,4.23E-03
11.45,4.22E-03
11.46,4.21E-03
11.47,4.21E-03
11.48,4.20E-03
11.49,4.20E-03
11.5,4.19E-03
11.51,4.19E-03
11.52,4.18E-03
11.53,4.17E-03
11.54,4.17E-03
11.55,4.16E-03
11.56,4.16E-03
11.57,4.15E-03
11.58,4.14E-03
11.59,4.14E-03
11.6,4.13E-03
11.61,4.13E-03
11.62,4.12E-03
11.63,4.12E-03
11.64,4.11E-03
11.65,4.10E-03
11.66,4.10E-03
11.67,4.09E-03
11.68,4.09E-03
11.69,4.08E-03
11.7,4.08E-03
11.71,4.07E-03
11.72,4.07E-03
11.73,4.06E-03
11.74,4.05E-03
11.75,4.05E-03
11.76,4.04E-03
11.77,4.04E-03
11.78,4.03E-03
11.79,4.03E-03
11.8,4.02E-03
11.81,4.02E-03
11.82,4.01E-03
11.83,4.00E-03
11.84,4.00E-03
11.85,3.99E-03
11.86,3.99E-03
11.87,3.98E-03
11.88,3.98E-03
11.89,3.97E-03
11.9,3.97E-03
11.91,3.96E-03
11.92,3.95E-03
11.93,3.95E-03
11.94,3.94E-03
11.95,3.94E-03
11.96,3.93E-03
11.97,3.93E-03
11.98,3.92E-03
11.99,3.92E-03
12,3.91E-03
12.01,3.91E-03
12.02,3.90E-03
12.03,3.89E-03
12.04,3.89E-03
12.05,3.88E-03
12.06,3.88E-03
12.07,3.87E-03
12.08,3.87E-03
12.09,3.86E-03
12.1,3.86E-03
12.11,3.85E-03
12.12,3.85E-03
12.13,3.84E-03
12.14,3.83E-03
12.15,3.83E-03
12.16,3.82E-03
12.17,3.82E-03
12.18,3.81E-03
12.19,3.81E-03
12.2,3.80E-03
12.21,3.80E-03
12.22,3.79E-03
12.23,3.79E-03
12.24,3.78E-03
12.25,3.78E-03
12.26,3.77E-03
12.27,3.77E-03
12.28,3.76E-03
12.29,3.76E-03
12.3,3.75E-03
12.31,3.75E-03
12.32,3.74E-03
12.33,3.74E-03
12.34,3.73E-03
12.35,3.73E-03
12.36,3.72E-03
12.37,3.72E-03
12.38,3.71E-03
12.39,3.71E-03
12.4,3.70E-03
12.41,3.70E-03
12.42,3.69E-03
12.43,3.69E-03
12.44,3.68E-03
12.45,3.68E-03
12.46,3.67E-03
12.47,3.67E-03
12.48,3.66E-03
12.49,3.66E-03
12.5,3.65E-03
12.51,3.65E-03
12.52,3.64E-03
12.53,3.64E-03
12.54,3.63E-03
12.55,3.63E-03
12.56,3.62E-03
12.57,3.62E-03
12.58,3.61E-03
12.59,3.61E-03
12.6,3.60E-03
12.61,3.60E-03
12.62,3.59E-03
12.63,3.59E-03
12.64,3.58E-03
12.65,3.58E-03
12.66,3.57E-03
12.67,3.57E-03
12.68,3.56E-03
12.69,3.56E-03
12.7,3.55E-03
12.71,3.55E-03
12.72,3.54E-03
12.73,3.54E-03
12.74,3.53E-03
12.75,3.53E-03
12.76,3.53E-03
12.77,3.52E-03
12.78,3.52E-03
12.79,3.51E-03
12.8,3.51E-03
12.81,3.50E-03
12.82,3.50E-03
12.83,3.49E-03
12.84,3.49E-03
12.85,3.48E-03
12.86,3.48E-03
12.87,3.47E-03
12.88,3.47E-03
12.89,3.46E-03
12.9,3.46E-03
12.91,3.45E-03
12.92,3.45E-03
12.93,3.45E-03
12.94,3.44E-03
12.95,3.44E-03
12.96,3.43E-03
12.97,3.43E-03
12.98,3.42E-03
12.99,3.42E-03
13,3.41E-03
13.01,3.41E-03
13.02,3.40E-03
13.03,3.40E-03
13.04,3.40E-03
13.05,3.39E-03
13.06,3.39E-03
13.07,3.38E-03
13.08,3.38E-03
13.09,3.37E-03
13.1,3.37E-03
13.11,3.36E-03
13.12,3.36E-03
13.13,3.35E-03
13.14,3.35E-03
13.15,3.35E-03
13.16,3.34E-03
13.17,3.34E-03
13.18,3.33E-03
13.19,3.33E-03
13.2,3.32E-03
13.21,3.32E-03
13.22,3.31E-03
13.23,3.31E-03
13.24,3.31E-03
13.25,3.30E-03
13.26,3.30E-03
13.27,3.29E-03
13.28,3.29E-03
13.29,3.28E-03
13.3,3.28E-03
13.31,3.28E-03
13.32,3.27E-03
13.33,3.27E-03
13.34,3.26E-03
13.35,3.26E-03
13.36,3.25E-03
13.37,3.25E-03
13.38,3.24E-03
13.39,3.24E-03
13.4,3.24E-03
13.41,3.23E-03
13.42,3.23E-03
13.43,3.22E-03
13.44,3.22E-03
13.45,3.21E-03
13.46,3.21E-03
13.47,3.21E-03
13.48,3.20E-03
13.49,3.20E-03
13.5,3.19E-03
13.51,3.19E-03
13.52,3.19E-03
13.53,3.18E-03
13.54,3.18E-03
13.55,3.17E-03
13.56,3.17E-03
13.57,3.16E-03
13.58,3.16E-03
13.59,3.16E-03
13.6,3.15E-03
13.61,3.15E-03
13.62,3.14E-03
13.63,3.14E-03
13.64,3.14E-03
13.65,3.13E-03
13.66,3.13E-03
13.67,3.12E-03
13.68,3.12E-03
13.69,3.11E-03
13.7,3.11E-03
13.71,3.11E-03
13.72,3.10E-03
13.73,3.10E-03
13.74,3.09E-03
13.75,3.09E-03
13.76,3.09E-03
